Taxa	TaxId	Rank	Comment
Cutibacterium acnes	1747	species	skin bacteria with mean abundance 27.657 with frequency 1.0 in IHSMGC
Moraxella osloensis	34062	species	skin bacteria with mean abundance 5.43 with frequency 0.999 in IHSMGC
Staphylococcus epidermidis	1282	species	skin bacteria with mean abundance 1.856 with frequency 1.0 in IHSMGC
Cutibacterium granulosum	33011	species	skin bacteria with mean abundance 1.154 with frequency 1.0 in IHSMGC
Mycobacterium sp. QIA-37	1561223	species	skin bacteria with mean abundance 1.089 with frequency 0.967 in IHSMGC
Malassezia globosa	76773	species	skin bacteria with mean abundance 0.608 with frequency 0.999 in IHSMGC
Staphylococcus aureus	1280	species	skin bacteria with mean abundance 0.547 with frequency 1.0 in IHSMGC
Staphylococcus capitis	29388	species	skin bacteria with mean abundance 0.51 with frequency 1.0 in IHSMGC
Mycobacteroides chelonae	1774	species	skin bacteria with mean abundance 0.442 with frequency 0.972 in IHSMGC
Propionibacterium sp. oral taxon 193	2559073	species	skin bacteria with mean abundance 0.43 with frequency 0.998 in IHSMGC
Corynebacterium simulans	146827	species	skin bacteria with mean abundance 0.279 with frequency 1.0 in IHSMGC
Staphylococcus pettenkoferi	170573	species	skin bacteria with mean abundance 0.265 with frequency 0.948 in IHSMGC
Micrococcus luteus	1270	species	skin bacteria with mean abundance 0.242 with frequency 0.999 in IHSMGC
Ralstonia solanacearum	305	species	skin bacteria with mean abundance 0.239 with frequency 0.83 in IHSMGC
Streptococcus pneumoniae	1313	species	skin bacteria with mean abundance 0.215 with frequency 1.0 in IHSMGC
Acinetobacter johnsonii	40214	species	skin bacteria with mean abundance 0.165 with frequency 0.996 in IHSMGC
Corynebacterium ureicelerivorans	401472	species	skin bacteria with mean abundance 0.161 with frequency 0.998 in IHSMGC
Pseudomonas fluorescens	294	species	skin bacteria with mean abundance 0.159 with frequency 0.987 in IHSMGC
Staphylococcus warneri	1292	species	skin bacteria with mean abundance 0.154 with frequency 0.997 in IHSMGC
Streptococcus mitis	28037	species	skin bacteria with mean abundance 0.137 with frequency 0.999 in IHSMGC
Corynebacterium jeikeium	38289	species	skin bacteria with mean abundance 0.135 with frequency 0.999 in IHSMGC
Corynebacterium striatum	43770	species	skin bacteria with mean abundance 0.131 with frequency 0.999 in IHSMGC
Streptococcus oralis	1303	species	skin bacteria with mean abundance 0.1 with frequency 0.998 in IHSMGC
Staphylococcus haemolyticus	1283	species	skin bacteria with mean abundance 0.1 with frequency 0.999 in IHSMGC
Corynebacterium aurimucosum	169292	species	skin bacteria with mean abundance 0.093 with frequency 0.997 in IHSMGC
Rothia mucilaginosa	43675	species	skin bacteria with mean abundance 0.092 with frequency 0.995 in IHSMGC
Corynebacterium singulare	161899	species	skin bacteria with mean abundance 0.089 with frequency 0.997 in IHSMGC
Acinetobacter lwoffii	28090	species	skin bacteria with mean abundance 0.089 with frequency 0.995 in IHSMGC
Neisseria sicca	490	species	skin bacteria with mean abundance 0.087 with frequency 0.979 in IHSMGC
Pseudomonas aeruginosa	287	species	skin bacteria with mean abundance 0.084 with frequency 0.995 in IHSMGC
Acinetobacter junii	40215	species	skin bacteria with mean abundance 0.084 with frequency 0.986 in IHSMGC
Staphylococcus pasteuri	45972	species	skin bacteria with mean abundance 0.084 with frequency 0.995 in IHSMGC
Cutibacterium avidum	33010	species	skin bacteria with mean abundance 0.084 with frequency 0.999 in IHSMGC
uncultured fungus	175245	species	skin bacteria with mean abundance 0.081 with frequency 0.966 in IHSMGC
[Mycobacterium] stephanolepidis	1520670	species	skin bacteria with mean abundance 0.079 with frequency 0.716 in IHSMGC
Corynebacterium resistens	258224	species	skin bacteria with mean abundance 0.077 with frequency 0.991 in IHSMGC
Pseudomonas putida	303	species	skin bacteria with mean abundance 0.076 with frequency 0.992 in IHSMGC
Lactobacillus crispatus	47770	species	skin bacteria with mean abundance 0.076 with frequency 0.866 in IHSMGC
Staphylococcus cohnii	29382	species	skin bacteria with mean abundance 0.076 with frequency 0.982 in IHSMGC
Haemophilus parainfluenzae	729	species	skin bacteria with mean abundance 0.074 with frequency 0.995 in IHSMGC
Komagataella phaffii	460519	species	skin bacteria with mean abundance 0.071 with frequency 0.808 in IHSMGC
uncultured bacterium	77133	species	skin bacteria with mean abundance 0.071 with frequency 0.999 in IHSMGC
Escherichia coli	562	species	skin bacteria with mean abundance 0.07 with frequency 0.988 in IHSMGC
Corynebacterium diphtheriae	1717	species	skin bacteria with mean abundance 0.069 with frequency 0.997 in IHSMGC
Streptococcus gordonii	1302	species	skin bacteria with mean abundance 0.068 with frequency 0.995 in IHSMGC
Corynebacterium kroppenstedtii	161879	species	skin bacteria with mean abundance 0.066 with frequency 0.996 in IHSMGC
Veillonella parvula	29466	species	skin bacteria with mean abundance 0.064 with frequency 0.994 in IHSMGC
Streptococcus sanguinis	1305	species	skin bacteria with mean abundance 0.063 with frequency 0.995 in IHSMGC
Acinetobacter baumannii	470	species	skin bacteria with mean abundance 0.061 with frequency 0.997 in IHSMGC
Staphylococcus lugdunensis	28035	species	skin bacteria with mean abundance 0.061 with frequency 0.998 in IHSMGC
Finegoldia magna	1260	species	skin bacteria with mean abundance 0.06 with frequency 0.999 in IHSMGC
Acinetobacter guillouiae	106649	species	skin bacteria with mean abundance 0.059 with frequency 0.94 in IHSMGC
Mycobacteroides abscessus	36809	species	skin bacteria with mean abundance 0.058 with frequency 0.982 in IHSMGC
Klebsiella pneumoniae	573	species	skin bacteria with mean abundance 0.056 with frequency 0.994 in IHSMGC
Chryseobacterium taklimakanense	536441	species	skin bacteria with mean abundance 0.056 with frequency 0.927 in IHSMGC
Gardnerella vaginalis	2702	species	skin bacteria with mean abundance 0.053 with frequency 0.99 in IHSMGC
Corynebacterium glaucum	187491	species	skin bacteria with mean abundance 0.053 with frequency 0.976 in IHSMGC
Stenotrophomonas maltophilia	40324	species	skin bacteria with mean abundance 0.052 with frequency 0.994 in IHSMGC
Neisseria meningitidis	487	species	skin bacteria with mean abundance 0.051 with frequency 0.978 in IHSMGC
Pseudomonas antarctica	219572	species	skin bacteria with mean abundance 0.051 with frequency 0.875 in IHSMGC
Betapapillomavirus 1	337051	species	skin bacteria with mean abundance 0.048 with frequency 0.572 in IHSMGC
Rothia dentocariosa	2047	species	skin bacteria with mean abundance 0.047 with frequency 0.996 in IHSMGC
Actinomyces naeslundii	1655	species	skin bacteria with mean abundance 0.047 with frequency 0.995 in IHSMGC
Actinomyces oris	544580	species	skin bacteria with mean abundance 0.046 with frequency 0.995 in IHSMGC
Streptococcus salivarius	1304	species	skin bacteria with mean abundance 0.045 with frequency 0.999 in IHSMGC
Malassezia sympodialis	76777	species	skin bacteria with mean abundance 0.042 with frequency 0.993 in IHSMGC
Comamonas aquatica	225991	species	skin bacteria with mean abundance 0.042 with frequency 0.95 in IHSMGC
Lawsonella clevelandensis	1528099	species	skin bacteria with mean abundance 0.041 with frequency 0.998 in IHSMGC
Corynebacterium imitans	156978	species	skin bacteria with mean abundance 0.041 with frequency 0.994 in IHSMGC
Gordonia bronchialis	2054	species	skin bacteria with mean abundance 0.041 with frequency 0.974 in IHSMGC
Xanthomonas campestris	339	species	skin bacteria with mean abundance 0.041 with frequency 0.956 in IHSMGC
Corynebacterium riegelii	156976	species	skin bacteria with mean abundance 0.041 with frequency 0.988 in IHSMGC
